uri,label_zh,label_en,label_es,label_fr,broader_links
http://aims.fao.org/aos/agrovoc/c_4827,牛奶副产品,milk by-products,Subproducto de la leche,sous-produit du lait,0
http://aims.fao.org/aos/agrovoc/c_4830,乳品,milk products,Producto lácteo,produit laitier,0
http://aims.fao.org/aos/agrovoc/c_4889,糖蜜,molasses,Melaza,mélasse,0
http://aims.fao.org/aos/agrovoc/c_27624,酒糟,vinasse,Vinaza,vinasse,0
http://aims.fao.org/aos/agrovoc/c_7500,糖副产品,sugar by-products,Subproducto del azúcar,sous-produit de sucrerie,0
http://aims.fao.org/aos/agrovoc/c_14665,甜菜副产品,sugar-beet byproducts,Subproducto remolacha azucarera,sous-produit betterave sucrière,0
http://aims.fao.org/aos/agrovoc/c_14666,甘蔗副产品,sugar-cane byproducts,Subproducto de la caña de azúcar,sous-produit de canne à sucre,0
http://aims.fao.org/aos/agrovoc/c_24060,植物果皮,peel,Piel (vegetal),pelure,0
http://aims.fao.org/aos/agrovoc/c_24831,可可壳,cocoa husks,Cáscaras de cacao,coque de cacao,0
http://aims.fao.org/aos/agrovoc/c_25402,磨油副产品,oil mill by-products,Subproducto aceitero,sous-produit d'huilerie,0
http://aims.fao.org/aos/agrovoc/c_5336,油籽饼,oilseed cakes,Torta oleaginosa,tourteau d'oléagineux,0
http://aims.fao.org/aos/agrovoc/c_25490,油料种子,oilseeds,Semilla oleaginosa,graine oléagineuse,0
http://aims.fao.org/aos/agrovoc/c_2988,面粉,flours,Harina,farine,0
http://aims.fao.org/aos/agrovoc/c_12193,亚麻籽饼,linseed cake,Torta de semilla de lino,tourteau de lin,0
http://aims.fao.org/aos/agrovoc/c_12192,亚麻子,linseed,Linaza,graine de lin,0
http://aims.fao.org/aos/agrovoc/c_16027,油菜籽粉,rapeseed meal,Harina de colza,tourteau de colza,0
http://aims.fao.org/aos/agrovoc/c_25499,油菜籽,rapeseed,Semilla de colza,graine de colza,0
http://aims.fao.org/aos/agrovoc/c_16043,大豆粕,soybean meal,Torta de soja,tourteau de soja,0
http://aims.fao.org/aos/agrovoc/c_29441,椰子饼粉,copra meal,Harina de copra,tourteau de coprah,0
http://aims.fao.org/aos/agrovoc/c_1873,干椰肉,copra,Copra,coprah,0
http://aims.fao.org/aos/agrovoc/c_35678,棉籽饼粉,cottonseed meal,Harina de semilla de algodón,tourteau de coton,0
http://aims.fao.org/aos/agrovoc/c_35679,花生饼粉,groundnut meal,Harina de cacahuete,tourteau d'arachide,0
http://aims.fao.org/aos/agrovoc/c_35709,葵籽饼粉,sunflower meal,Harina de girasol,tourteau de tournesol,0
http://aims.fao.org/aos/agrovoc/c_36344,棕榈仁饼,palm kernel cake,Torta de palmiste,tourteau de palmiste,0
http://aims.fao.org/aos/agrovoc/c_25493,棕榈仁,palm kernels,Almendra de palma,palmiste,0
http://aims.fao.org/aos/agrovoc/c_26878,鱼副产品,fishery by-products,Subproducto de la pesca,sous-produit de pêche,0
http://aims.fao.org/aos/agrovoc/c_2925,鱼粉,fishmeal,Harina de pescado,farine de poisson,0
http://aims.fao.org/aos/agrovoc/c_27459,甜菜浆,beet pulp,Pulpa de remolacha,pulpe de betterave,0
http://aims.fao.org/aos/agrovoc/c_28445,糟,lees,Lías de vino,lie de vin,0
http://aims.fao.org/aos/agrovoc/c_34239,咖啡果肉,coffee pulp,Pulpa de café,pulpe de café,0
http://aims.fao.org/aos/agrovoc/c_2814,脂肪产品,fat products,Producto graso,corps gras élaboré,0
http://aims.fao.org/aos/agrovoc/c_2941,渔产品,fishery products,Producto pesquero,produit de la pêche,0
http://aims.fao.org/aos/agrovoc/c_2930,鱼制品,fish products,Producto derivado del pescado,produit à base de poisson,0
http://aims.fao.org/aos/agrovoc/c_6915,海藻产品,seaweed products,Producto derivado de algas,produit à base d'algue marine,0
http://aims.fao.org/aos/agrovoc/c_4951,珍珠母,mother of pearl,Nacar,nacre,0
http://aims.fao.org/aos/agrovoc/c_2149,装饰用途,decorative uses,Uso decorativo,usage décoratif,0
http://aims.fao.org/aos/agrovoc/c_5418,观赏贝类,ornamental shells,Concha ornamental,coquillage décoratif,0
http://aims.fao.org/aos/agrovoc/c_5644,珍珠,pearls,Perla,perle,0
http://aims.fao.org/aos/agrovoc/c_7321,海绵,sponges,Esponja,éponge,0
http://aims.fao.org/aos/agrovoc/c_3125,果品,fruit products,Producto derivado de las frutas,produit à base de fruits,0
http://aims.fao.org/aos/agrovoc/c_4680,肉制品,meat products,Producto de la carne,produit carné,0
http://aims.fao.org/aos/agrovoc/c_13438,蔬菜制品,vegetable products,Producto a base de hortalizas,produit à base de légume,0
